Day,new_cases_smoothed_per_million
1,23.577
2,26.714
3,28.914
4,30.577
5,32.686
6,35.01
7,37.195
8,40.336
9,43
10,45.96
11,48.167
12,50.813
13,54.252
14,59.736
15,68.479
16,77.727
17,88.813
18,97.294
19,106.32
20,117.024
21,130.339
22,144.773
23,155.984
24,172.319
25,188.79
26,200.462
27,216.423
28,229.705
29,244.853
30,267.255
31,282.396
32,294.513
33,304.941
34,331.432
35,364.617
36,395.039
37,425.264
38,456.518
39,477.037
40,497.209
41,508.789
42,530.983
43,557.391
44,578.016
45,600.611
46,629.389
47,652.576
48,675.594
49,677.593
50,660.736
51,649.265
52,640.557
53,629.479
54,626.089
55,602.27
56,582.095
57,586.978
58,580.98
59,575.847
60,560.736
61,538.762
62,590.092
63,572.982
64,545.448
65,525.945
66,491.793
67,467.702
68,432.68
69,343.406
70,337.612
71,330.707
72,315.331
73,304.937
74,296.222
75,291.251
76,288.216
77,281.954
78,277.747
79,277.252
80,273.744
81,272.988
82,274.784
83,269.356
84,270.449
85,263.657
86,255.738
87,254.782
88,253.323
89,252.329
90,253.531
91,253.164
92,257.556
93,250.266
94,226.197
95,208.252
96,202.877
97,204.51
98,206.105
99,207.424
100,214.284
101,222.327
102,229.659
103,234.096
104,233.991
105,239.433
106,234.35
107,226.288
108,240.416
